Piston Cap Ball End,Activation Pin Cap,Activation Pin,Sleeve Body,Piston,Screen,Retainer,Retainer Clip,Extended Ball to Ball Distance,Compressed Ball to Ball Distance,Locked Ball to Ball Distance,Pallet Stop Shelf Gap,Retainer Clearance Distance,Extended Wedge Annulus Clearance,Ball End Type
00-050589,00-601661,00-601659,00-050651,00-050135,00-047064,00-049271,00-049278,54.395,46.86,52.23499,4.125,4.954500000000002,0.05059999999999931,Female
00-048395,00-601661,00-601659,00-050651,00-050135,00-047064,00-049271,00-049278,54.395,44.1,52.23499,1.3649999999999984,2.194499999999997,0.05059999999999931,Female
00-050649,00-601661,00-601659,00-050651,00-050135,00-047064,00-049271,00-049278,54.395,46.685,52.23499,3.9499999999999993,4.779499999999998,0.05059999999999931,Female
00-049426,00-601661,00-048389,00-050651,00-050135,00-047064,00-049271,00-049278,54.395,41.965,52.23499,-0.7699999999999996,0.059499999999999,0.05059999999999931,Male
00-050612,00-601661,00-048389,00-050651,00-050135,00-047064,00-049271,00-049278,54.395,41.800000000000004,52.23499,-0.9350000000000005,-0.10550000000000015,0.05059999999999931,Male
00-050133,00-601661,00-048389,00-050651,00-050135,00-047064,00-049271,00-049278,54.395,42.300000000000004,52.23499,-0.4350000000000005,0.39449999999999985,0.05059999999999931,Male
00-050361,00-601661,00-048389,00-050651,00-050135,00-047064,00-049271,00-049278,54.395,44.09,52.23499,1.3550000000000004,2.184499999999999,0.05059999999999931,Male
00-049426,00-601661,00-048389,00-050651,00-050611,00-047064,00-049271,00-049278,54.595000000000006,42.465,52.23199,-0.26699999999999946,0.5585000000000013,-0.15239999999999831,Male
00-050612,00-601661,00-048389,00-050651,00-050611,00-047064,00-049271,00-049278,54.595000000000006,42.300000000000004,52.23199,-0.4320000000000004,0.3935000000000022,-0.15239999999999831,Male
00-050649,00-601661,00-601659,00-050651,00-050611,00-047064,00-049271,00-049278,54.595000000000006,47.185,52.23199,4.452999999999999,5.2785,-0.15239999999999831,Female
00-048395,00-601661,00-601659,00-050651,00-050611,00-047064,00-049271,00-049278,54.595000000000006,44.6,52.23199,1.8679999999999986,2.6934999999999993,-0.15239999999999831,Female
00-050589,00-601661,00-601659,00-050651,00-050611,00-047064,00-049271,00-049278,54.595000000000006,47.36,52.23199,4.628,5.4535000000000045,-0.15239999999999831,Female
00-049133,00-601661,00-601659,00-050651,00-050611,00-047064,00-049271,00-049278,54.595000000000006,47.61,52.23199,4.878,5.7035000000000045,-0.15239999999999831,Female
00-050133,00-601661,00-048389,00-050651,00-050611,00-047064,00-049271,00-049278,54.595000000000006,42.800000000000004,52.23199,0.06799999999999962,0.8935000000000022,-0.15239999999999831,Male
00-050653,00-601661,00-048389,00-050651,00-050611,00-047064,00-049271,00-049278,54.595000000000006,41.895,52.23199,-0.8369999999999997,-0.011499999999998956,-0.15239999999999831,Male
00-050579,00-601661,00-048389,00-050651,00-050611,00-047064,00-049271,00-049278,54.595000000000006,41.800000000000004,52.23199,-0.9320000000000004,-0.10649999999999782,-0.15239999999999831,Male
00-050361,00-601661,00-048389,00-050651,00-050611,00-047064,00-049271,00-049278,54.595000000000006,44.59,52.23199,1.8580000000000005,2.6835000000000013,-0.15239999999999831,Male
00-049133,00-601661,00-601659,00-050205,00-050611,00-047064,00-049271,00-049278,56.25,47.61,52.246990000000004,3.222999999999999,-0.09649999999999626,3.0519999999999996,Female
00-050589,00-601661,00-601659,00-050205,00-050611,00-047064,00-049271,00-049278,56.25,47.36,52.246990000000004,2.972999999999999,-0.34649999999999626,3.0519999999999996,Female
00-050589,00-601661,00-601659,00-050014,00-050611,00-047064,00-049271,00-049278,58.43600000000001,47.36,54.33039000000001,0.786999999999999,-0.33649999999999114,2.417200000000001,Female
00-049133,00-601661,00-601659,00-050014,00-050611,00-047064,00-049271,00-049278,58.43600000000001,47.61,54.33039000000001,1.036999999999999,-0.08649999999999114,2.417200000000001,Female
00-050133,00-601661,00-048389,00-050205,00-050648,00-047064,00-049271,00-049278,61.60000000000001,48.150000000000006,55.08299,0.9270000000000032,-0.11449999999999694,0.5379999999999967,Male
00-050133,00-601661,00-048389,00-050205,00-050587,00-047064,00-049271,00-049278,61.60000000000001,48.150000000000006,55.08299,0.9270000000000032,-0.11449999999999694,0.5379999999999967,Male
00-050649,00-601661,00-601659,00-050205,00-050648,00-047064,00-049271,00-049278,61.60000000000001,52.535000000000004,55.08299,5.312000000000003,4.270500000000001,0.5379999999999967,Female
00-050649,00-601661,00-601659,00-050205,00-050587,00-047064,00-049271,00-049278,61.60000000000001,52.535000000000004,55.08299,5.312000000000003,4.270500000000001,0.5379999999999967,Female
00-049133,00-601661,00-601659,00-050205,00-050587,00-047064,00-049271,00-049278,61.60000000000001,52.96,55.08299,5.737000000000002,4.695500000000005,0.5379999999999967,Female
00-049133,00-601661,00-601659,00-050205,00-050648,00-047064,00-049271,00-049278,61.60000000000001,52.96,55.08299,5.737000000000002,4.695500000000005,0.5379999999999967,Female
00-048395,00-601661,00-601659,00-050205,00-050648,00-047064,00-049271,00-049278,61.60000000000001,49.95,55.08299,2.727000000000004,1.6855000000000002,0.5379999999999967,Female
00-048395,00-601661,00-601659,00-050205,00-050587,00-047064,00-049271,00-049278,61.60000000000001,49.95,55.08299,2.727000000000004,1.6855000000000002,0.5379999999999967,Female
00-050361,00-601661,00-048389,00-050205,00-050648,00-047064,00-049271,00-049278,61.60000000000001,49.940000000000005,55.08299,2.7170000000000023,1.6755000000000022,0.5379999999999967,Male
00-050361,00-601661,00-048389,00-050205,00-050587,00-047064,00-049271,00-049278,61.60000000000001,49.940000000000005,55.08299,2.7170000000000023,1.6755000000000022,0.5379999999999967,Male
00-050589,00-601661,00-601659,00-050205,00-050587,00-047064,00-049271,00-049278,61.60000000000001,52.71,55.08299,5.487000000000002,4.445500000000005,0.5379999999999967,Female
00-050589,00-601661,00-601659,00-050205,00-050648,00-047064,00-049271,00-049278,61.60000000000001,52.71,55.08299,5.487000000000002,4.445500000000005,0.5379999999999967,Female
00-050653,00-601661,00-048389,00-050205,00-050015,00-047064,00-049271,00-049278,63.22,48.365,56.26499,-0.03999999999999915,0.7994999999999974,0.09999999999999787,Male
00-050653,00-601661,00-048389,00-050205,00-049720,00-047064,00-049271,00-049278,63.22,48.365,56.234989999999996,-0.00999999999999801,0.7994999999999974,0.06999999999999673,Male
00-049133,00-601661,00-601659,00-050205,00-050015,00-047064,00-049271,00-049278,63.22,54.08,56.26499,5.675000000000001,6.514500000000001,0.09999999999999787,Female
00-049133,00-601661,00-601659,00-050205,00-049720,00-047064,00-049271,00-049278,63.22,54.08,56.234989999999996,5.705000000000002,6.514500000000001,0.06999999999999673,Female
00-050579,00-601661,00-048389,00-050205,00-049720,00-047064,00-049271,00-049278,63.22,48.27,56.234989999999996,-0.10499999999999687,0.7044999999999986,0.06999999999999673,Male
00-050579,00-601661,00-048389,00-050205,00-050015,00-047064,00-049271,00-049278,63.22,48.27,56.26499,-0.134999999999998,0.7044999999999986,0.09999999999999787,Male
00-050361,00-601661,00-048389,00-050205,00-049720,00-047064,00-049271,00-049278,63.22,51.06,56.234989999999996,2.6850000000000023,3.4944999999999977,0.06999999999999673,Male
00-050361,00-601661,00-048389,00-050205,00-050015,00-047064,00-049271,00-049278,63.22,51.06,56.26499,2.655000000000001,3.4944999999999977,0.09999999999999787,Male
00-049426,00-601661,00-048389,00-050205,00-049720,00-047064,00-049271,00-049278,63.22,48.935,56.234989999999996,0.5600000000000023,1.3694999999999977,0.06999999999999673,Male
00-049426,00-601661,00-048389,00-050205,00-050015,00-047064,00-049271,00-049278,63.22,48.935,56.26499,0.5300000000000011,1.3694999999999977,0.09999999999999787,Male
00-050589,00-601661,00-601659,00-050205,00-050015,00-047064,00-049271,00-049278,63.22,53.83,56.26499,5.425000000000001,6.264500000000001,0.09999999999999787,Female
00-050589,00-601661,00-601659,00-050205,00-049720,00-047064,00-049271,00-049278,63.22,53.83,56.234989999999996,5.455000000000002,6.264500000000001,0.06999999999999673,Female
00-048395,00-601661,00-601659,00-050205,00-050015,00-047064,00-049271,00-049278,63.22,51.07,56.26499,2.6650000000000027,3.5044999999999957,0.09999999999999787,Female
00-048395,00-601661,00-601659,00-050205,00-049720,00-047064,00-049271,00-049278,63.22,51.07,56.234989999999996,2.695000000000004,3.5044999999999957,0.06999999999999673,Female
00-050612,00-601661,00-048389,00-050205,00-050015,00-047064,00-049271,00-049278,63.22,48.77,56.26499,0.365000000000002,1.2044999999999986,0.09999999999999787,Male
00-050612,00-601661,00-048389,00-050205,00-049720,00-047064,00-049271,00-049278,63.22,48.77,56.234989999999996,0.3950000000000031,1.2044999999999986,0.06999999999999673,Male
00-050649,00-601661,00-601659,00-050205,00-050015,00-047064,00-049271,00-049278,63.22,53.655,56.26499,5.250000000000002,6.089499999999997,0.09999999999999787,Female
00-050649,00-601661,00-601659,00-050205,00-049720,00-047064,00-049271,00-049278,63.22,53.655,56.234989999999996,5.280000000000003,6.089499999999997,0.06999999999999673,Female
00-050133,00-601661,00-048389,00-050205,00-050015,00-047064,00-049271,00-049278,63.22,49.27,56.26499,0.865000000000002,1.7044999999999986,0.09999999999999787,Male
00-050133,00-601661,00-048389,00-050205,00-049720,00-047064,00-049271,00-049278,63.22,49.27,56.234989999999996,0.8950000000000031,1.7044999999999986,0.06999999999999673,Male
00-050361,00-601661,00-048389,00-050014,00-050587,00-047064,00-049271,00-049278,63.786,49.940000000000005,57.16639,0.5310000000000024,1.6855000000000073,-0.09680000000000177,Male
00-050361,00-601661,00-048389,00-050014,00-050648,00-047064,00-049271,00-049278,63.786,49.940000000000005,57.16639,0.5310000000000024,1.6855000000000073,-0.09680000000000177,Male
00-049133,00-601661,00-601659,00-050014,00-050648,00-047064,00-049271,00-049278,63.786,52.96,57.16639,3.551000000000002,4.7055000000000105,-0.09680000000000177,Female
00-049133,00-601661,00-601659,00-050014,00-050587,00-047064,00-049271,00-049278,63.786,52.96,57.16639,3.551000000000002,4.7055000000000105,-0.09680000000000177,Female
00-050133,00-601661,00-048389,00-050014,00-050648,00-047064,00-049271,00-049278,63.786,48.150000000000006,57.16639,-1.2589999999999968,-0.10449999999999182,-0.09680000000000177,Male
00-050133,00-601661,00-048389,00-050014,00-050587,00-047064,00-049271,00-049278,63.786,48.150000000000006,57.16639,-1.2589999999999968,-0.10449999999999182,-0.09680000000000177,Male
00-050589,00-601661,00-601659,00-050014,00-050648,00-047064,00-049271,00-049278,63.786,52.71,57.16639,3.301000000000002,4.4555000000000105,-0.09680000000000177,Female
00-050589,00-601661,00-601659,00-050014,00-050587,00-047064,00-049271,00-049278,63.786,52.71,57.16639,3.301000000000002,4.4555000000000105,-0.09680000000000177,Female
00-048395,00-601661,00-601659,00-050014,00-050587,00-047064,00-049271,00-049278,63.786,49.95,57.16639,0.5410000000000039,1.6955000000000053,-0.09680000000000177,Female
00-048395,00-601661,00-601659,00-050014,00-050648,00-047064,00-049271,00-049278,63.786,49.95,57.16639,0.5410000000000039,1.6955000000000053,-0.09680000000000177,Female
00-050649,00-601661,00-601659,00-050014,00-050648,00-047064,00-049271,00-049278,63.786,52.535000000000004,57.16639,3.126000000000003,4.280500000000006,-0.09680000000000177,Female
00-050649,00-601661,00-601659,00-050014,00-050587,00-047064,00-049271,00-049278,63.786,52.535000000000004,57.16639,3.126000000000003,4.280500000000006,-0.09680000000000177,Female
00-049133,00-601661,00-601659,00-050647,00-050587,00-047064,00-049271,00-049278,64.45,52.96,54.88849,2.8870000000000005,2.6955000000000053,0.1390999999999991,Female
00-049133,00-601661,00-601659,00-050647,00-050648,00-047064,00-049271,00-049278,64.45,52.96,54.88849,2.8870000000000005,2.6955000000000053,0.1390999999999991,Female
00-050361,00-601661,00-048389,00-050647,00-050648,00-047064,00-049271,00-049278,64.45,49.940000000000005,54.88849,-0.13299999999999912,-0.3244999999999978,0.1390999999999991,Male
00-050361,00-601661,00-048389,00-050647,00-050587,00-047064,00-049271,00-049278,64.45,49.940000000000005,54.88849,-0.13299999999999912,-0.3244999999999978,0.1390999999999991,Male
00-050589,00-601661,00-601659,00-050647,00-050648,00-047064,00-049271,00-049278,64.45,52.71,54.88849,2.6370000000000005,2.4455000000000053,0.1390999999999991,Female
00-050589,00-601661,00-601659,00-050647,00-050587,00-047064,00-049271,00-049278,64.45,52.71,54.88849,2.6370000000000005,2.4455000000000053,0.1390999999999991,Female
00-050649,00-601661,00-601659,00-050647,00-050587,00-047064,00-049271,00-049278,64.45,52.535000000000004,54.88849,2.4620000000000015,2.270500000000001,0.1390999999999991,Female
00-050649,00-601661,00-601659,00-050647,00-050648,00-047064,00-049271,00-049278,64.45,52.535000000000004,54.88849,2.4620000000000015,2.270500000000001,0.1390999999999991,Female
00-048395,00-601661,00-601659,00-050647,00-050587,00-047064,00-049271,00-049278,64.45,49.95,54.88849,-0.12299999999999756,-0.3144999999999998,0.1390999999999991,Female
00-048395,00-601661,00-601659,00-050647,00-050648,00-047064,00-049271,00-049278,64.45,49.95,54.88849,-0.12299999999999756,-0.3144999999999998,0.1390999999999991,Female
