Piston Cap Ball End,Activation Pin Cap,Activation Pin,Sleeve Body,Piston,Screen,Retainer,Retainer Clip,Extended Ball to Ball Distance,Compressed Ball to Ball Distance,Locked Ball to Ball Distance,Pallet Stop Shelf Gap,Retainer Clearance Distance,Extended Wedge Annulus Clearance,Ball End Type
00-049133,00-601661,00-601659,00-050610,00-049198,00-047064,00-049271,00-049278,50.00000000000001,43.515,48.651140000000005,3.8249999999999993,2.110499999999994,1.261800000000001,Female
00-050649,00-601661,00-601659,00-050610,00-049198,00-047064,00-049271,00-049278,50.00000000000001,43.09,48.651140000000005,3.3999999999999986,1.6854999999999967,1.261800000000001,Female
00-048395,00-601661,00-601659,00-050578,00-049198,00-047064,00-049271,00-049278,50.00000000000001,40.505,48.65189000000001,0.8149999999999977,-0.3995000000000042,0.3625000000000007,Female
00-048395,00-601661,00-601659,00-050134,00-049198,00-047064,00-049271,00-049278,50.00000000000001,40.505,48.65214000000001,0.8149999999999977,-0.3995000000000042,0.3628,Female
00-050589,00-601661,00-601659,00-050651,00-049198,00-047064,00-049271,00-049278,50.50000000000001,43.265,49.68999000000001,3.0749999999999993,1.160499999999998,1.4006000000000007,Female
00-049133,00-601661,00-601659,00-050651,00-049198,00-047064,00-049271,00-049278,50.50000000000001,43.515,49.68999000000001,3.3249999999999993,1.410499999999998,1.4006000000000007,Female
00-050649,00-601661,00-601659,00-050651,00-049198,00-047064,00-049271,00-049278,50.50000000000001,43.09,49.68999000000001,2.8999999999999986,0.9855000000000009,1.4006000000000007,Female
00-048395,00-601661,00-601659,00-049721,00-050018,00-047064,00-049271,00-049278,50.815000000000005,41.02,48.88499,0.8349999999999973,0.1045000000000007,0.3805999999999994,Female
00-050649,00-601661,00-601659,00-049721,00-050018,00-047064,00-049271,00-049278,50.815000000000005,43.605000000000004,48.88499,3.419999999999998,2.6895000000000016,0.3805999999999994,Female
00-050361,00-601661,00-048389,00-049721,00-050018,00-047064,00-049271,00-049278,50.815000000000005,41.010000000000005,48.88499,0.8249999999999993,0.09449999999999914,0.3805999999999994,Male
00-050589,00-601661,00-601659,00-049721,00-050018,00-047064,00-049271,00-049278,50.815000000000005,43.78,48.88499,3.594999999999999,2.8644999999999987,0.3805999999999994,Female
00-049133,00-601661,00-601659,00-049721,00-050018,00-047064,00-049271,00-049278,50.815000000000005,44.03,48.88499,3.844999999999999,3.1144999999999987,0.3805999999999994,Female
00-049133,00-601661,00-601659,00-050017,00-049198,00-047064,00-049271,00-049278,50.885000000000005,43.515,49.29999,2.9399999999999977,2.6554999999999955,-0.17539999999999978,Female
00-048395,00-601661,00-601659,00-050017,00-049198,00-047064,00-049271,00-049278,50.885000000000005,40.505,49.29999,-0.07000000000000028,-0.3545000000000025,-0.17539999999999978,Female
